ID,nT,m,k,power,base,K,seed,num_iter,num_burn,num_thin
1,300,200,2,2,0.95,100,1,5000,2500,5
2,300,200,2,2,0.95,100,2,5000,2500,5
3,300,200,2,2,0.95,100,3,5000,2500,5
4,300,200,2,2,0.95,100,4,5000,2500,5
5,300,200,2,2,0.95,100,5,5000,2500,5
6,300,200,2,2,0.95,100,6,5000,2500,5
7,300,200,2,2,0.95,100,7,5000,2500,5
8,300,200,2,2,0.95,100,8,5000,2500,5
9,300,200,2,2,0.95,100,9,5000,2500,5
10,300,200,2,2,0.95,100,10,5000,2500,5
11,300,200,2,2,0.95,100,11,5000,2500,5
12,300,200,2,2,0.95,100,12,5000,2500,5
13,300,200,2,2,0.95,100,13,5000,2500,5
14,300,200,2,2,0.95,100,14,5000,2500,5
15,300,200,2,2,0.95,100,15,5000,2500,5
16,300,200,2,2,0.95,100,16,5000,2500,5
17,300,200,2,2,0.95,100,17,5000,2500,5
18,300,200,2,2,0.95,100,18,5000,2500,5
19,300,200,2,2,0.95,100,19,5000,2500,5
20,300,200,2,2,0.95,100,20,5000,2500,5
21,300,200,2,2,0.95,100,21,5000,2500,5
22,300,200,2,2,0.95,100,22,5000,2500,5
23,300,200,2,2,0.95,100,23,5000,2500,5
24,300,200,2,2,0.95,100,24,5000,2500,5
25,300,200,2,2,0.95,100,25,5000,2500,5
26,300,200,2,2,0.95,100,26,5000,2500,5
27,300,200,2,2,0.95,100,27,5000,2500,5
28,300,200,2,2,0.95,100,28,5000,2500,5
29,300,200,2,2,0.95,100,29,5000,2500,5
30,300,200,2,2,0.95,100,30,5000,2500,5
31,300,200,2,2,0.95,100,31,5000,2500,5
32,300,200,2,2,0.95,100,32,5000,2500,5
33,300,200,2,2,0.95,100,33,5000,2500,5
34,300,200,2,2,0.95,100,34,5000,2500,5
35,300,200,2,2,0.95,100,35,5000,2500,5
36,300,200,2,2,0.95,100,36,5000,2500,5
37,300,200,2,2,0.95,100,37,5000,2500,5
38,300,200,2,2,0.95,100,38,5000,2500,5
39,300,200,2,2,0.95,100,39,5000,2500,5
40,300,200,2,2,0.95,100,40,5000,2500,5
41,300,200,2,2,0.95,100,41,5000,2500,5
42,300,200,2,2,0.95,100,42,5000,2500,5
43,300,200,2,2,0.95,100,43,5000,2500,5
44,300,200,2,2,0.95,100,44,5000,2500,5
45,300,200,2,2,0.95,100,45,5000,2500,5
46,300,200,2,2,0.95,100,46,5000,2500,5
47,300,200,2,2,0.95,100,47,5000,2500,5
48,300,200,2,2,0.95,100,48,5000,2500,5
49,300,200,2,2,0.95,100,49,5000,2500,5
50,300,200,2,2,0.95,100,50,5000,2500,5
51,300,200,2,2,0.95,100,51,5000,2500,5
52,300,200,2,2,0.95,100,52,5000,2500,5
53,300,200,2,2,0.95,100,53,5000,2500,5
54,300,200,2,2,0.95,100,54,5000,2500,5
55,300,200,2,2,0.95,100,55,5000,2500,5
56,300,200,2,2,0.95,100,56,5000,2500,5
57,300,200,2,2,0.95,100,57,5000,2500,5
58,300,200,2,2,0.95,100,58,5000,2500,5
59,300,200,2,2,0.95,100,59,5000,2500,5
60,300,200,2,2,0.95,100,60,5000,2500,5
61,300,200,2,2,0.95,100,61,5000,2500,5
62,300,200,2,2,0.95,100,62,5000,2500,5
63,300,200,2,2,0.95,100,63,5000,2500,5
64,300,200,2,2,0.95,100,64,5000,2500,5
65,300,200,2,2,0.95,100,65,5000,2500,5
66,300,200,2,2,0.95,100,66,5000,2500,5
67,300,200,2,2,0.95,100,67,5000,2500,5
68,300,200,2,2,0.95,100,68,5000,2500,5
69,300,200,2,2,0.95,100,69,5000,2500,5
70,300,200,2,2,0.95,100,70,5000,2500,5
71,300,200,2,2,0.95,100,71,5000,2500,5
72,300,200,2,2,0.95,100,72,5000,2500,5
73,300,200,2,2,0.95,100,73,5000,2500,5
74,300,200,2,2,0.95,100,74,5000,2500,5
75,300,200,2,2,0.95,100,75,5000,2500,5
76,300,200,2,2,0.95,100,76,5000,2500,5
77,300,200,2,2,0.95,100,77,5000,2500,5
78,300,200,2,2,0.95,100,78,5000,2500,5
79,300,200,2,2,0.95,100,79,5000,2500,5
80,300,200,2,2,0.95,100,80,5000,2500,5
81,300,200,2,2,0.95,100,81,5000,2500,5
82,300,200,2,2,0.95,100,82,5000,2500,5
83,300,200,2,2,0.95,100,83,5000,2500,5
84,300,200,2,2,0.95,100,84,5000,2500,5
85,300,200,2,2,0.95,100,85,5000,2500,5
86,300,200,2,2,0.95,100,86,5000,2500,5
87,300,200,2,2,0.95,100,87,5000,2500,5
88,300,200,2,2,0.95,100,88,5000,2500,5
89,300,200,2,2,0.95,100,89,5000,2500,5
90,300,200,2,2,0.95,100,90,5000,2500,5
91,300,200,2,2,0.95,100,91,5000,2500,5
92,300,200,2,2,0.95,100,92,5000,2500,5
93,300,200,2,2,0.95,100,93,5000,2500,5
94,300,200,2,2,0.95,100,94,5000,2500,5
95,300,200,2,2,0.95,100,95,5000,2500,5
